English,Telugu,MIX CODE (TENGLISH),TRANSLITERATION
I don't need a new TV.,నాకు కొత్త టీవీ అవసరం లేదు.          ,నాకు new TV అవసరం లేదు.,Naaku kotta TV avasaram ledu.
We had no money.,మాకు డబ్బు లేదు.          ,మాకు money లేదు.,Maaku money ledu.
I understood nothing.,నాకు ఏమీ అర్థం కాలేదు.          ,నాకు ఏమి అర్థం కాలేదు.,Nenu em ardham chesukoledu.
Tom told Mary she was cute.,టామ్ మేరీతో ఆమె క్యూట్ అని చెప్పాడు.          ,Tom Mary కి ఆమె cute అని చెప్పాడు.,Tom Mary ki aame cute ani cheppadu.
This school has many students.,ఈ పాఠశాలలో చాలా మంది విద్యార్థులు ఉన్నారు.          ,ఈ school లో చాలా students ఉన్నారు.,Ee school lo chala mandi students unnaru.
Oh  don't be so modest.,ఓహ్  అంత నిరాడంబరంగా ఉండకండి.        ,Oh don’t be so modest.,"Oh, anta modest ga undakandi."
The blue car is expensive.,నీలం కారు ఖరీదైనది.          ,Blue car expensive గా ఉంది.,Blue car expensive ga undi.
Which of you ate my sandwich?,మీలో ఎవరు నా శాండ్‌విచ్ తిన్నారు?          ,మీ లో ఎవరు నా sandwich తిన్నారు?,Mee lo evaru naa sandwich tinnaaru?
Tom didn't want to be eaten by wolves.,టామ్ తోడేళ్ళు తినడానికి ఇష్టపడలేదు.          ,Tom wolves తో తినిపోవడం istemledu.,Tom wolves tinadaniki anukoledu.
I want to make sure Tom is OK.,టామ్ సరేనని నిర్ధారించుకోవాలనుకుంటున్నాను.          ,నేను Tom okay ఉన్నాడా అని check చేసుకోవాలనుకుంటున్నాను.,Nenu Tom okay ga unnada ani choodalanukuntunnanu.
You tried.,మీరు ప్రయత్నించారు.          ,నువ్వు try చేశావు.,Meeru try chesaru.
Close the window before going to sleep.,నిద్రపోయే ముందు కిటికీని మూసివేయండి.          ,నిద్రపోయే ముందు window close చేయి.,Nidrapoye mundu window close cheyandi.
I love a good party.,నేను మంచి పార్టీని ప్రేమిస్తున్నాను.          ,నేను good party ని love చేస్తున్నాను.,Nenu manchi party ni love chestanu.
Why can't you accept me as I am?,నేను ఉన్నట్లు మీరు నన్ను ఎందుకు అంగీకరించలేరు?          ,ఎందుకు నన్ను ఇలా accept చేయలేవు?,Nenu unna vidhanamga accept cheyalenu enduku?
I want everything to be perfect.,ప్రతిదీ పరిపూర్ణంగా ఉండాలని నేను కోరుకుంటున్నాను.          ,నేను అన్నీ perfect గా ఉండాలని కోరుకుంటున్నాను.,Nenu anni perfect ga undali ani korukuntunnanu.
Tom died two years ago in a plane crash.,టామ్ రెండేళ్ల క్రితం విమాన ప్రమాదంలో మరణించాడు.          ,Tom రెండు years back plane crash లో చనిపోయాడు.,Tom rendu samvatsaralu kritham plane crash lo chanipoyadu.
Tom applied for the position  but he didn't get it.,టామ్ ఈ స్థానం కోసం దరఖాస్తు చేసుకున్నాడు  కాని అతను దానిని పొందలేదు.        ,Tom position కి apply చేశాడు కానీ పొందలేదు.,Tom position ki apply chesadu kani pondaledu.
I don't want to come back here ever again.,నేను మరలా ఇక్కడకు తిరిగి రావడం ఇష్టం లేదు.          ,నేను మళ్ళీ ఇక్కడకు రావాలని అనుకోను.,Nenu eppudu malli ikkada raanu.
I'm not sure if that's a good idea.,ఇది మంచి ఆలోచన కాదా అని నాకు తెలియదు.          ,ఇది good idea కాదేమో నాకు sure లేదు.,Idi manchi idea ani naaku sure ledu.
Tom was the only one in the pool.,పూల్ లో టామ్ ఒక్కరే.          ,Pool లో Tom ఒక్కడే ఉన్నాడు.,Pool lo Tom okade unnadu.
I wanted to tell you how sorry I am.,నేను ఎంత క్షమించాలో మీకు చెప్పాలనుకున్నాను.          ,నేను చాలా sorry అని చెప్పాలని అనుకున్నాను.,Nenu chala sorry ani cheppalanukunnanu.
How much did we pay Tom the last time?,మేము చివరిసారి టామ్‌కు ఎంత చెల్లించాము?          ,Last time మేము Tom కి ఎంత pay చేశాము?,Memu last time Tom ki entha pay chesam?
What's wrong with that?,దానిలో తప్పేంటి?          ,దాంట్లో తప్పేంటి?,Daanilo tappu emundi?
Tom lives on welfare.,టామ్ సంక్షేమం మీద జీవిస్తాడు.          ,Tom welfare పై ఉంటాడు.,Tom welfare pai untadu.
It's more complicated than I originally thought.,నేను మొదట అనుకున్నదానికంటే ఇది చాలా క్లిష్టంగా ఉంది.          ,ఇది నేను అనుకున్న దానికంటే complicated.,Nenu anukunnadanikante idi complicated.
I'm not paid much.,నాకు పెద్దగా జీతం లేదు.          ,నాకు ఎక్కువ salary లేదు.,Naku ekkuva salary ledu.
Tom shut the office door.,టామ్ ఆఫీసు తలుపు మూసివేసాడు.          ,Tom office door close చేశాడు.,Tom office door close chesadu.
I hate beans.,నేను బీన్స్ ను ద్వేషిస్తున్నాను.          ,నేను beans ని hate చేస్తున్నాను.,Nenu beans ni hate chestanu.
Tom caught a lot of fish yesterday.,టామ్ నిన్న చాలా చేపలను పట్టుకున్నాడు.          ,Tom నిన్న చాలా fish catch చేశాడు.,Tom ninna chala fish catch chesadu.
Nobody lives there.,అక్కడ ఎవరూ నివసించరు.          ,అక్కడ ఎవరూ ఉండరు.,Akkada evaru undaru.
She is a pleasant person.,ఆమె ఒక ఆహ్లాదకరమైన వ్యక్తి.          ,ఆమె pleasant person.,Aame oka pleasant person.
